SampleID,category,xsectioninpb,kfactor,filterefficiency,xsecunc
################################################################################################################,,,,,ls
,,,,,
# top,,,,,
# ttbar,,,,,
364173,     Sherpa_221_NNPDF30NNLO_Wenu_MAXHTPTV70_140_CVetoBVeto,944.67,0.9702,0.67486,1
364176,     Sherpa_221_NNPDF30NNLO_Wenu_MAXHTPTV140_280_CVetoBVeto,339.69,0.9702,0.5988,1
364179,     Sherpa_221_NNPDF30NNLO_Wenu_MAXHTPTV280_500_CVetoBVeto,72.069,0.9702,0.54825,1
364182,     Sherpa_221_NNPDF30NNLO_Wenu_MAXHTPTV500_1000,15.047,0.9702,1,1
364183,     Sherpa_221_NNPDF30NNLO_Wenu_MAXHTPTV1000_E_CMS,1.2342,0.9702,1,1
,,,,,
# mu,,,,,
364158,     Sherpa_221_NNPDF30NNLO_Wmunu_MAXHTPTV0_70_BFilter,19141,0.9702,0.044587,1
364161,     Sherpa_221_NNPDF30NNLO_Wmunu_MAXHTPTV70_140_BFilter,944.34,0.9702,0.083746,1
364164,     Sherpa_221_NNPDF30NNLO_Wmunu_MAXHTPTV140_280_BFilter,339.66,0.9702,0.110298,1
364167,     Sherpa_221_NNPDF30NNLO_Wmunu_MAXHTPTV280_500_BFilter,72.057,0.9702,0.12405,1
364156,     Sherpa_221_NNPDF30NNLO_Wmunu_MAXHTPTV0_70_CVetoBVeto,19151,0.9702,0.8244,1
364159,     Sherpa_221_NNPDF30NNLO_Wmunu_MAXHTPTV70_140_CVetoBVeto,945.52,0.9702,0.672,1
364162,     Sherpa_221_NNPDF30NNLO_Wmunu_MAXHTPTV140_280_CVetoBVeto,339.77,0.9702,0.6028,1
364165,     Sherpa_221_NNPDF30NNLO_Wmunu_MAXHTPTV280_500_CVetoBVeto,72.072,0.9702,0.54755,1
364157,     Sherpa_221_NNPDF30NNLO_Wmunu_MAXHTPTV0_70_CFilterBVeto,19142,0.9702,0.13088,1
364160,     Sherpa_221_NNPDF30NNLO_Wmunu_MAXHTPTV70_140_CFilterBVeto,945.52,0.9702,0.24592,1
364163,     Sherpa_221_NNPDF30NNLO_Wmunu_MAXHTPTV140_280_CFilterBVeto,339.8,0.9702,0.29188,1
364166,     Sherpa_221_NNPDF30NNLO_Wmunu_MAXHTPTV280_500_CFilterBVeto,72.093,0.9702,0.32013,1
364168,     Sherpa_221_NNPDF30NNLO_Wmunu_MAXHTPTV500_1000,15.007,0.9702,1,1
364169,     Sherpa_221_NNPDF30NNLO_Wmunu_MAXHTPTV1000_E_CMS,1.2349,0.9702,1,1
,,,,,
# tau,,,,,
364186,     Sherpa_221_NNPDF30NNLO_Wtaunu_MAXHTPTV0_70_BFilter,19147,0.9702,0.045038,1
364189,     Sherpa_221_NNPDF30NNLO_Wtaunu_MAXHTPTV70_140_BFilter,945.6,0.9702,0.10391,1
364192,     Sherpa_221_NNPDF30NNLO_Wtaunu_MAXHTPTV140_280_BFilter,339.13,0.9702,0.10247,1
364195,     Sherpa_221_NNPDF30NNLO_Wtaunu_MAXHTPTV280_500_BFilter,71.95,0.9702,0.13592,1
364184,     Sherpa_221_NNPDF30NNLO_Wtaunu_MAXHTPTV0_70_CVetoBVeto,19156,0.9702,0.82465,1
364187,     Sherpa_221_NNPDF30NNLO_Wtaunu_MAXHTPTV70_140_CVetoBVeto,944.97,0.9702,0.67644,1
364190,     Sherpa_221_NNPDF30NNLO_Wtaunu_MAXHTPTV140_280_CVetoBVeto,339.79,0.9702,0.59869,1
364193,     Sherpa_221_NNPDF30NNLO_Wtaunu_MAXHTPTV280_500_CVetoBVeto,72.085,0.9702,0.54821,1
364185,     Sherpa_221_NNPDF30NNLO_Wtaunu_MAXHTPTV0_70_CFilterBVeto,19149,0.9702,0.13157,1
364188,     Sherpa_221_NNPDF30NNLO_Wtaunu_MAXHTPTV70_140_CFilterBVeto,946.19,0.9702,0.24253,1
364191,     Sherpa_221_NNPDF30NNLO_Wtaunu_MAXHTPTV140_280_CFilterBVeto,339.68,0.9702,0.28465,1
364194,     Sherpa_221_NNPDF30NNLO_Wtaunu_MAXHTPTV280_500_CFilterBVeto,71.995,0.9702,0.31883,1
364196,     Sherpa_221_NNPDF30NNLO_Wtaunu_MAXHTPTV500_1000,15.051,0.9702,1,1
364197,     Sherpa_221_NNPDF30NNLO_Wtaunu_MAXHTPTV1000_E_CMS,1.234,0.9702,1,1
,,,,,
################################################################################################################,,,,,
,,,,,
# Z+jets,,,,,
# Powheg,,,,,
361106, PowhegPythia8EvtGen_AZNLOCTEQ6L1_Zee,1901.2,1.026,1,1
361107, PowhegPythia8EvtGen_AZNLOCTEQ6L1_Zmumu,1901.2,1.026,1,1
361108, PowhegPythia8EvtGen_AZNLOCTEQ6L1_Ztautau,1901.2,1.026,1,1
,,,,,
# Sherpa,,,,,
# e,,,,,
,,,,,
364116,    Sherpa_221_NNPDF30NNLO_Zee_MAXHTPTV0_70_BFilter,1982,0.9751,0.065194,1
364119,    Sherpa_221_NNPDF30NNLO_Zee_MAXHTPTV70_140_BFilter,110.53,0.9751,0.11587,1
364122,    Sherpa_221_NNPDF30NNLO_Zee_MAXHTPTV140_280_BFilter,40.68,0.9751,0.15352,1
364125,    Sherpa_221_NNPDF30NNLO_Zee_MAXHTPTV280_500_BFilter,8.6801,0.9751,0.17632,1
364114,    Sherpa_221_NNPDF30NNLO_Zee_MAXHTPTV0_70_CVetoBVeto,1982.8,0.9751,0.8212,1
364117,    Sherpa_221_NNPDF30NNLO_Zee_MAXHTPTV70_140_CVetoBVeto,110.71,0.9751,0.69362,1
364120,    Sherpa_221_NNPDF30NNLO_Zee_MAXHTPTV140_280_CVetoBVeto,40.645,0.9751,0.61591,1
364123,    Sherpa_221_NNPDF30NNLO_Zee_MAXHTPTV280_500_CVetoBVeto,8.6716,0.9751,0.56429,1
364126,    Sherpa_221_NNPDF30NNLO_Zee_MAXHTPTV500_1000,1.8089,0.9751,1,1
364127,    Sherpa_221_NNPDF30NNLO_Zee_MAXHTPTV1000_E_CMS,0.14881,0.9751,1,1
364115,    Sherpa_221_NNPDF30NNLO_Zee_MAXHTPTV0_70_CFilterBVeto,1981.7,0.9751,0.11367,1
364118,    Sherpa_221_NNPDF30NNLO_Zee_MAXHTPTV70_140_CFilterBVeto,110.5,0.9751,0.18933,1
364121,    Sherpa_221_NNPDF30NNLO_Zee_MAXHTPTV140_280_CFilterBVeto,40.674,0.9751,0.23268,1
364124,    Sherpa_221_NNPDF30NNLO_Zee_MAXHTPTV280_500_CFilterBVeto,8.6668,0.9751,0.26531,1
,,,,,
#mu,,,,,
364102,    Sherpa_221_NNPDF30NNLO_Zmumu_MAXHTPTV0_70_BFilter,1981.5,0.9751,0.065853,1
364105,    Sherpa_221_NNPDF30NNLO_Zmumu_MAXHTPTV70_140_BFilter,109.05,0.9751,0.11374,1
364108,    Sherpa_221_NNPDF30NNLO_Zmumu_MAXHTPTV140_280_BFilter,39.888,0.9751,0.1557,1
364111,    Sherpa_221_NNPDF30NNLO_Zmumu_MAXHTPTV280_500_BFilter,8.5301,0.9751,0.17666,1
364100,    Sherpa_221_NNPDF30NNLO_Zmumu_MAXHTPTV0_70_CVetoBVeto,1981.7,0.9751,0.82152,1
364103,    Sherpa_221_NNPDF30NNLO_Zmumu_MAXHTPTV70_140_CVetoBVeto,109.07,0.9751,0.68831,1
364106,    Sherpa_221_NNPDF30NNLO_Zmumu_MAXHTPTV140_280_CVetoBVeto,39.87,0.9751,0.61125,1
364109,    Sherpa_221_NNPDF30NNLO_Zmumu_MAXHTPTV280_500_CVetoBVeto,8.522,0.9751,0.56046,1
364113,    Sherpa_221_NNPDF30NNLO_Zmumu_MAXHTPTV1000_E_CMS,0.1476,0.9751,1,1
364112,    Sherpa_221_NNPDF30NNLO_Zmumu_MAXHTPTV500_1000,1.7876,0.9751,1,1
364101,    Sherpa_221_NNPDF30NNLO_Zmumu_MAXHTPTV0_70_CFilterBVeto,1982.6,0.9751,0.11357,1
364104,    Sherpa_221_NNPDF30NNLO_Zmumu_MAXHTPTV70_140_CFilterBVeto,108.98,0.9751,0.19027,1
364110,    Sherpa_221_NNPDF30NNLO_Zmumu_MAXHTPTV280_500_CFilterBVeto,8.5194,0.9751,0.26621,1
